Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
TOI1130c,,NIRISS.SOSS,365.088687001828,180.604334764402,8.350381,16.814,637.0
TOI1468c,Transit,NIRISS.SOSS,65.7548999696103,1.09780847715208,15.532482,2.064,336.631235394188
TOI1231b,Transit,NIRSPEC.BOTS+G395H,96.453832945206,1.78151849865045,24.245586,3.65,327.6680700466
TOI1231b,Transit,MIRI.LRS,96.453832945206,1.78151849865045,24.245586,3.65,327.6680700466
TOI125b,Transit,NIRSPEC.BOTS+G395H,48.7555849071157,5.71039594514698,4.65382,2.726,1025.26876807845
TOI125c,Transit,NIRSPEC.BOTS+G395H,59.2120265414462,3.59976580738081,9.15059,2.759,825.080330516147
TOI1468b,Eclipse,MIRI.F1500W,9.8955756787178,6.24684157057359,1.8805136,1.28,680.958148493723
TOI1468b,Eclipse,MIRI.F1500W,9.8955756787178,6.24684157057359,1.8805136,1.28,680.958148493723
TOI1468b,Eclipse,MIRI.F1500W,9.8955756787178,6.24684157057359,1.8805136,1.28,680.958148493723
LTT3780c,Transit,NIRISS.SOSS,89.9553340576387,1.94965613417027,12.252196,2.33,362.153692712542
TOI1468c,Transit,NIRSPEC.BOTS+G395H,65.7548999696103,1.09780847715208,15.532482,2.064,336.631235394188
TOI1468c,Transit,MIRI.LRS,65.7548999696103,1.09780847715208,15.532482,2.064,336.631235394188
TOI1685b,PhaseC,NIRSPEC.BOTS+G395H,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRISS.SOSS,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRISS.SOSS,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRSPEC.BOTS+G395H,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRSPEC.BOTS+G395H,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRSPEC.BOTS+G395H,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI1685b,Transit,NIRSPEC.BOTS+G395H,120.559904655113,15.6603668188296,0.6691406,1.7,1066.98847728807
TOI178b,Transit,NIRSPEC.BOTS+G395M,6.36541033864286,2.70663149442431,1.914558,1.152,1040.0
TOI178d,Transit,NIRSPEC.BOTS+G395M,155.324269484499,5.09232845525257,6.5577,2.572,690.0
TOI178g,Transit,NIRSPEC.BOTS+G395M,114.085534822574,1.83207285308972,20.7095,2.87,470.0
TOI178g,Transit,NIRSPEC.BOTS+G395M,114.085534822574,1.83207285308972,20.7095,2.87,470.0
TOI1899b,Transit,NIRSPEC.BOTS+PRISM,61.7024479503398,6.79666209018102,29.02,12.89,362.78080102236
TOI2109b,PhaseC,NIRSPEC.BOTS+G395H,41.5985792024898,242.5608409979,0.67247414,15.098,3646.0
TOI2109b,PhaseC,NIRSPEC.BOTS+G395H,41.5985792024898,242.5608409979,0.67247414,15.098,3646.0
TOI2109b,PhaseC,NIRSPEC.BOTS+G395H,41.5985792024898,242.5608409979,0.67247414,15.098,3646.0
TOI2445b,see_phase,NIRSPEC.BOTS+PRISM,,10.0444769861823,0.3711281,1.25,1060.0
TOI270b,Eclipse,MIRI.F1500W,12.8513093128248,3.09595619834376,3.3601538,1.206,581.0
TOI270b,Eclipse,MIRI.F1500W,12.8513093128248,3.09595619834376,3.3601538,1.206,581.0
TOI270b,Eclipse,MIRI.F1500W,12.8513093128248,3.09595619834376,3.3601538,1.206,581.0
TOI270b,Eclipse,MIRI.F1500W,12.8513093128248,3.09595619834376,3.3601538,1.206,581.0
LP79118c,Transit,NIRSPEC.BOTS+PRISM,137.187350191918,3.29215970624298,4.9899093,2.438,354.360884992654
TOI421b,Transit,NIRISS.SOSS,85.5349023576265,7.32524982621516,5.19672,2.68,980.22572887844
TOI270d,Transit,MIRI.LRS,103.814731876136,2.06667477776887,11.379573,2.133,387.0
TOI270d,Transit,NIRSPEC.BOTS+G395H,103.814731876136,2.06667477776887,11.379573,2.133,387.0
K218b,Transit,NIRISS.SOSS,41.5738949529733,0.295278154892221,32.940045,2.61,278.0
TOI270d,Transit,NIRSPEC.BOTS+G395H,103.814731876136,2.06667477776887,11.379573,2.133,387.0
TOI270d,Transit,NIRSPEC.BOTS+G395H,103.814731876136,2.06667477776887,11.379573,2.133,387.0
TOI3235b,Transit,NIRSPEC.BOTS+PRISM,162.118109145835,105.469814766655,2.59261842,11.4,604.0
TOI3714b,Transit,NIRSPEC.BOTS+PRISM,97.6932040921527,90.7028721896126,2.154849,11.321,753.60407101061
TOI3714b,Transit,NIRSPEC.BOTS+PRISM,97.6932040921527,90.7028721896126,2.154849,11.321,753.60407101061
TOI3714b,Transit,NIRSPEC.BOTS+PRISM,97.6932040921527,90.7028721896126,2.154849,11.321,753.60407101061
