toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,pl_bmasse,scale,Vmag,Jmag,Hmag,TSM,vsini
5430.01,46774573,PC,06h28m01.24s,97.005172,+22d53m54.97s,22.898603,-0.581,0.068,-0.068,0,-4.542,0.064,-0.064,0,2459546.30366,0.002464,-0.002464,0,3.8635521,0.0002295,-0.0002295,0,3.896,0.183,-0.183,0,0.01135,5.39062,-5.39062,0,15.1873,,,0,1333.49,,,,1683,,,,13.2621,0.015,-0.015,0,1031.52,28.18,-28.18,0,6797,122,-122,0,4.3,,,0,1.42,,,0,2022-04-20 18:22:44,2023-02-27 12:02:51,92.7445733098349,1.15,13.664,12.718,12.492,122.414042696644,
5431.01,302895184,PC,05h32m41.27s,83.171954,+14d57m25.41s,14.957058,4.583,0.047,-0.047,0,-7.611,0.037,-0.037,0,2459541.977239,0.002045,-0.002045,0,4.788785,0.0000165,-0.0000165,0,3.135,0.609,-0.609,0,0.0076,11.8848,-11.8848,0,16.3086,,,0,487.83,,,,1309,,,,13.1207,0.012,-0.012,0,811.056,17.5145,-17.5145,0,6045,122,-122,0,3.96,,,0,1.83,,,0,2022-04-20 18:22:44,2023-04-05 12:02:46,101.743213250849,1.15,14.072,12.102,11.794,82.8750243918834,
5432.01,86898676,PC,06h34m22.83s,98.595105,+24d14m08s,24.235555,4.136,0.071,-0.071,0,-0.666,0.062,-0.062,0,2459546.030839,0.001715,-0.001715,0,2.9525486,0.0001132,-0.0001132,0,2.694,0.137,-0.137,0,0.00573,2.63129,-2.63129,0,11.4188,0.644457,-0.644457,0,531.966,,,,1337,,,,11.444,0.006,-0.006,0,373.957,5.9075,-5.9075,0,5612,124.4,-124.4,0,4.09,0.08,-0.08,0,1.48,0.08,-0.08,0,2022-04-20 18:22:45,2023-02-19 12:02:51,64.0133226996008,1.15,12.147,10.808,10.497,128.882907242652,
5433.01,75697959,PC,05h42m29.99s,85.62494,+28d32m59.44s,28.549845,-2.431,0.103,-0.103,0,-1.786,0.074,-0.074,0,2459544.293745,0.004213,-0.004213,0,4.1459886,0.0004684,-0.0004684,0,2.604,0.303,-0.303,0,0.02619,56.7885,-56.7885,0,12.1704,0.716833,-0.716833,0,56.2686,,,,763,,,,14.9819,0.008,-0.008,0,465.477,12.437,-12.437,0,3981,157,-157,0,4.56,0.02,-0.02,0,0.71,0.02,-0.02,0,2022-04-20 18:22:45,2023-04-05 12:02:46,69.5440649298094,1.15,16.434,13.684,13.039,87.7130101364311,
5434.01,307377219,FP,06h35m21.05s,98.83772,+14d29m25.18s,14.490329,-0.628,0.073,-0.073,0,1.683,0.061,-0.061,0,2459542.814078,0.002432,-0.002432,0,4.1629444,0.0000214,-0.0000214,0,2.064,0.347,-0.347,0,0.00367,6.49134,-6.49134,0,11.633,0.835716,-0.835716,0,243.425,,,,1100,,,,12.4151,0.015,-0.015,0,744.34,22.7195,-22.7195,0,6005,142.1,-142.1,0,3.94,0.08,-0.08,0,1.88,0.1,-0.1,0,2022-04-20 18:22:45,2022-11-21 12:02:40,65.5787313329912,1.15,13.047,11.703,11.379,44.724620656034,
5435.01,294309873,PC,06h11m59.55s,92.998145,+13d45m32.84s,13.759123,-0.931,0.097,-0.097,0,-0.651,0.085,-0.085,0,2459550.460448,0.002514,-0.002514,0,1.2699324,0.0000252,-0.0000252,0,1.596,0.655,-0.655,0,0.00159,16.5709,-16.5709,0,7.56197,0.994586,-0.994586,0,16457.7,,,,3155,,,,12.1706,0.016,-0.016,0,1052.12,81.981,-81.981,0,9649,275.3,-275.3,0,4.35,0.09,-0.09,0,1.74,0.14,-0.14,0,2022-04-20 18:22:46,2023-01-10 12:02:32,37.4618481619494,1.15,12.286,11.79,11.696,60.7577157247204,
5436.01,155369758,PC,06h52m24.02s,103.100078,+12d31m54.02s,12.531671,-13.972,0.054,-0.054,0,-0.705,0.048,-0.048,0,2459545.797843,0.00161,-0.00161,0,11.9285531,0.0000318,-0.0000318,0,2.283,0.157,-0.157,0,0.02069,16.1411,-16.1411,0,16.0753,,,0,18.6079,,,,578,,,,13.3742,0.011,-0.011,0,618.277,11.438,-11.438,0,5447.3,90.5,-90.5,0,4.34,,,0,1.09,,,0,2022-04-20 18:22:46,2023-04-05 12:02:46,99.8551748961039,1.15,13.973,12.641,12.191,78.0613464177136,
5437.01,6853696,PC,05h26m34.15s,81.642309,+21d35m56.99s,21.599165,3.106,0.059,-0.059,0,-2.795,0.041,-0.041,0,2459544.097774,0.002614,-0.002614,0,3.42015,0.0002307,-0.0002307,0,3.801,0.212,-0.212,0,0.01114,6.54905,-6.54905,0,18.3061,,,0,808.301,,,,1485,,,,13.4489,0.008,-0.008,0,943.511,27.294,-27.294,0,5708,127,-127,0,3.96,,,0,1.76,,,0,2022-04-20 18:22:47,2023-04-05 12:02:46,118.232900461504,1.15,14.125,12.475,12.105,112.105863977251,
5438.01,367193060,PC,06h57m49.52s,104.456348,+25d30m55.26s,25.51535,-0.598,0.871,-0.871,0,-10.219,0.871,-0.871,0,2459549.679322,0.002284,-0.002284,0,2.5842514,0.0002224,-0.0002224,0,1.837,0.19,-0.19,0,0.00236,2.32704,-2.32704,0,7.50424,,,0,424.656,,,,,,,,11.5419,0.006,-0.006,0,317.022,,,0,5860.5,,,0,,,,0,1.51,,,0,2022-04-20 18:22:47,2023-01-10 12:02:32,37.0904834299143,1.15,12.082,10.917,10.596,,
5439.01,247912728,PC,05h52m01.35s,88.005636,+13d12m15.55s,13.204319,1.543,0.06,-0.06,0,-4.451,0.052,-0.052,0,2459547.015426,0.001965,-0.001965,0,5.0775738,0.0000216,-0.0000216,0,4.053,0.217,-0.217,0,0.00862,5.25172,-5.25172,0,18.5536,,,0,1365.56,,,,1693,,,,13.3853,0.009,-0.009,0,1810.17,98.635,-98.635,0,7648.8,56.5,-56.5,0,4.09,,,0,2,,,0,2022-04-20 18:22:48,2023-04-05 12:02:46,120.31517589103,1.15,13.789,12.756,12.507,86.5428517298242,
544.01,50618703,CP,05h29m09.62s,82.290072,-00d20m34.43s,-0.342898,34.297,0.063,-0.063,0,-78.131,0.058,-0.058,0,2458469.756983,0.000482,-0.000482,0,1.5483542,0.0000042,-0.0000042,0,1.2030925,0.1491982,-0.1491982,0,0.0009264111032,47.315773,-47.315773,0,2.1601741,0.6412675,-0.6412675,0,240.1950345,,,,1004.0625199,,,,9.6504,0.006,-0.006,0,41.1166,0.0734,-0.0734,0,4665,177,-177,0,4.67631,0.316736,-0.316736,0,0.663414,0.0607689,-0.0607689,0,2019-03-28 00:07:14,2021-10-29 12:59:15,7.348507558931,1.26,10.777,8.592,8.027,78.3945768734171,
5440.01,29374525,FP,05h45m12.19s,86.300794,+18d27m42.27s,18.461741,11.994,0.07,-0.07,0,23.754,0.06,-0.06,0,2459545.296726,0.003712,-0.003712,0,3.813812,0.0003866,-0.0003866,0,2.572,0.456,-0.456,0,0.00231,3.4131,-3.4131,0,3.44278,0.283758,-0.283758,0,177.52,,,,1016,,,,11.8338,0.006,-0.006,0,151.894,0.9895,-0.9895,0,4689,123.2,-123.2,0,4.61,0.09,-0.09,0,0.71,0.05,-0.05,0,2022-04-20 18:22:48,2022-05-09 12:02:45,13.4693245301743,1.28,12.659,10.898,10.373,60.4144005178361,
5441.01,91697121,PC,05h54m23.63s,88.59846,+15d03m56.17s,15.065604,2.214,0.043,-0.043,0,-7.05,0.035,-0.035,0,2459546.034378,0.002426,-0.002426,0,2.8633026,0.0000248,-0.0000248,0,0.941,0.253,-0.253,0,0.00471,48.0826,-48.0826,0,11.4725,,,0,147.202,,,,970,,,,13.3605,0.01,-0.01,0,1128.92,32.605,-32.605,0,6642.2,191.5,-191.5,0,4.26,,,0,1.45,,,0,2022-04-20 18:22:48,2023-04-05 12:02:46,64.4049504490752,1.15,13.999,12.692,12.393,32.2322524714786,
5442.01,406684949,PC,09h33m44.5s,143.435397,+06d44m28.92s,6.741368,-4.807,0.087,-0.087,0,8.706,0.092,-0.092,0,2459541.585225,0.002674,-0.002674,0,12.7091678,0.0000599,-0.0000599,0,1.746,0.318,-0.318,0,0.00462,2078.86,-2078.86,0,16.3709,6.31091,-6.31091,0,78.6129,,,,829,,,,12.1047,0.009,-0.009,0,499.409,12.037,-12.037,0,6145,134.7,-134.7,0,4.31,0.08,-0.08,0,1.25,0.06,-0.06,0,2022-04-20 18:22:49,2022-08-18 12:02:41,102.248768623541,1.15,12.707,11.457,11.172,42.8913952595212,
5443.01,400515645,PC,06h11m29.67s,92.873609,+34d58m37.5s,34.977082,-0.008,0.064,-0.064,0,-3.857,0.052,-0.052,0,2459548.509059,0.00424,-0.00424,0,1.6757659,0.0001851,-0.0001851,0,2.248,0.339,-0.339,0,0.00258,7.54777,-7.54777,0,7.62588,0.656733,-0.656733,0,3221.06,,,,2098,,,,12.8173,0.015,-0.015,0,885.894,24.6875,-24.6875,0,6960.9,153.6,-153.6,0,4.25,0.1,-0.1,0,1.53,0.09,-0.09,0,2022-04-20 18:22:49,2023-02-27 12:02:51,37.8739604421809,1.15,13.471,12.143,11.923,55.5819314690497,
5444.01,367193046,APC,06h57m35.01s,104.395856,+25d29m56.09s,25.498913,-3.179,0.078,-0.078,0,-8.406,0.063,-0.063,0,2459543.136534,0.00205,-0.00205,0,10.2780324,0.0009659,-0.0009659,0,1.642,0.359,-0.359,0,0.00735,21.0328,-21.0328,0,11.8122,0.851445,-0.851445,0,37.8777,,,,691,,,,12.1258,0.006,-0.006,0,589.655,14.219,-14.219,0,6545.7,108,-108,0,4.34,0.09,-0.09,0,1.3,0.06,-0.06,0,2022-04-20 18:22:50,2023-02-19 12:02:51,66.8950208350028,1.15,12.529,11.619,11.417,58.2185766777421,
